HEALTH_FACILITY_NAME,latitude,longitude,ADM1,ADM2
Клініка Спіженка,50.442498507,30.184340885,Kyiv Oblast,Kyiv-Sviatoshyn
КНП `Бородянська ЦРЛ`,50.6438,29.9259,Kyiv Oblast,Borodianka
"КНП ""Тлумацька ЦМЛ""",48.873071988,24.994415351,Ivano-Frankivsk Oblast,Tlumach
Блиставиця АЗПСМ (Bucha CPMSD),50.5999,30.1741,Kyiv Oblast,Borodianka
Синяк АЗПСМ (Bucha CPMSD),50.67933249027771,30.264914608320257,Kyiv Oblast,Borodianka
Мироцьке АЗПСМ (Bucha CPMSD),50.576659692,30.119144618,Kyiv Oblast,Borodianka
Лубянка АЗПСМ (Bucha CPMSD),50.652566561127095,30.175097115406384,Kyiv Oblast,Borodianka
Андріївка АЗПСМ (Makariv CPMSD),50.5512,29.8369,Kyiv Oblast,Makariv
Бабинці АЗПСМ (Bucha CPMSD),50.641343713,30.023136563,Kyiv Oblast,Borodianka
Гурівщина АЗПСМ (Dmytrivsky MC),50.4332,30.0524,Kyiv Oblast,Makariv
Дмитрівка ФП (Borodyanka CPMSD),50.6008,29.7826,Kyiv Oblast,Borodianka
Гаврилівка АЗПСМ (Bucha CPMSD),50.6776,30.2192,Kyiv Oblast,Borodianka
Лубянка АЗПСМ (Bucha CPMSD),50.652565494,30.175097054,Kyiv Oblast,Borodianka
Здвижівка АЗПСМ (Bucha CPMSD),50.6743,30.0685,Kyiv Oblast,Borodianka
Здвижівка АЗПСМ (Bucha CPMSD),50.674264731,30.068487248,Kyiv Oblast,Borodianka
Лубянка АЗПСМ (Bucha CPMSD),50.6527,30.175,Kyiv Oblast,Borodianka
Лубянка АЗПСМ (Bucha CPMSD),50.652700371,30.175015622,Kyiv Oblast,Borodianka
Мироцьке АЗПСМ (Bucha CPMSD),50.5767,30.1191,Kyiv Oblast,Borodianka
КНП `Ірпінська ЦМЛ` (Буча),50.5496,30.2107,Kyiv Oblast,Borodianka
КНП `Ірпінська ЦМЛ` (Буча),50.549612153,30.210727847,Kyiv Oblast,Borodianka
Блиставиця АЗПСМ (Bucha CPMSD),50.6019,30.1769,Kyiv Oblast,Borodianka
Микуличі АЗПСМ (Немішаєве ЦПМСД),50.5753,30.0725,Kyiv Oblast,Borodianka
Синяк АЗПСМ (Bucha CPMSD),50.6793,30.2649,Kyiv Oblast,Borodianka
Блиставиця АЗПСМ (Bucha CPMSD),50.5998,30.174,Kyiv Oblast,Borodianka
Гаврилівка АЗПСМ (Bucha CPMSD),50.676685789,30.217217895,Kyiv Oblast,Borodianka
Нова Гребля ФП (Borodyanka CPMSD),50.5837,29.8877,Kyiv Oblast,Makariv
Діброва ПЗ (Irpin CPMSD),50.5364,30.0293,Kyiv Oblast,Borodianka
"КНП ""Тлумацька ЦМЛ""",48.8731,24.9944,Ivano-Frankivsk Oblast,Tlumach
Клініка Спіженка,50.4425,30.1843,Kyiv Oblast,Kyiv-Sviatoshyn
Діброва ПЗ (Irpin CPMSD),50.5364076,30.0293476,Kyiv Oblast,Borodianka
Качали ФП (Borodyanka CPMSD),50.6969,29.8376,Kyiv Oblast,Borodianka
Синяк АЗПСМ (Bucha CPMSD),50.679331421,30.264914553,Kyiv Oblast,Borodianka
Синяк АЗПСМ (Bucha CPMSD),50.6795,30.2649,Kyiv Oblast,Borodianka
КНП 'Макарівська БЛІЛ',50.5512,29.8369,Kyiv Oblast,Makariv
Новий Корогод ФАП (Бородянка ЦПМСД),50.5919,29.7929,Kyiv Oblast,Makariv
Блиставиця АЗПСМ (Bucha CPMSD),50.6017,30.177,Kyiv Oblast,Borodianka
Бабинці АЗПСМ (Bucha CPMSD),50.6413,30.0231,Kyiv Oblast,Borodianka
КНП `Бородянська ЦРЛ`,50.6437915,29.9258814,Kyiv Oblast,Borodianka
Гаврилівка АЗПСМ (Bucha CPMSD),50.6767,30.2172,Kyiv Oblast,Borodianka
